keyword,category_name,success,success_proba
reloj despertador,Home & Garden,0,0.17824948186632508
lampara nocturna,Lights & Lighting,0,0.03624786003439966
cortinas tela,Home & Garden,0,0.18616377390167968
alfombra sala,Home & Garden,1,0.9711359419692814
cojines decorativos,Home & Garden,1,0.9313385301992061
fundas cojin,Home & Garden,0,0.17433681367650022
ropa de cama,Home & Garden,1,0.7707318990640554
edredon,Home & Garden,0,0.011992865623488199
mantas,Home & Garden,1,0.8444963523021097
organizadores ropa,Furniture,0,0.022975835947613422
zapatero,Shoes,0,0.011122568979694684
caja organizadora,Home & Garden,1,0.5460405996514689
estanteria metalica,Home & Garden,0,0.022412396029039234
carrito organizador,Home & Garden,0,0.08491174052490628
dispensador agua,Home & Garden,0,0.05736248103433869
purificador aire,Home Appliances,1,0.6787913772064431
cafetera italiana,Home & Garden,1,0.9913893318667858
tetera acero,Home & Garden,0,0.3323503514727699
molinillo cafe,Home & Garden,1,0.5729765027719496
espumador leche,Home Appliances,1,0.9840305461991136
vajilla porcelana,Home & Garden,1,0.9525769810074475
vasos vidrio,Home & Garden,0,0.06043426970224803
copas vino,Home & Garden,1,0.9834518727652258
cubiertos acero,Home & Garden,1,0.9376039700153262
abridor botellas,Home & Garden,0,0.04523924482757833
sacacorchos,Home & Garden,1,0.9392058412775666
