_id,request_id,generated_at,keyword,country,region,language,sources_used,aliexpress_query.ship_to_country,aliexpress_query.target_currency,aliexpress_query.target_language,ali_avg_sale_price,ali_avg_evaluate_rate,category_name,trends_count,trends_mean,trends_max,trends_min,trends_std,trends_first_date,trends_first_value,trends_last_date,trends_last_value,trends_slope,yt_total_views,yt_total_likes,yt_total_comments,yt_videos_count,engagement,cluster
69e9fd064d28cb7da6d8766c,41c9a2f3-4b4e-4e94-854b-c70414de745e,2026-04-23 11:03:52.181,cajas de carton,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,24.048,94.93,Jewelry & Accessories,31,67.64516129032258,100,0,26.210110500971147,2026-03-24,67,2026-04-23,65,0.8657258064516129,1142104.0,13554.0,658.0,42.0,0.012443700398562654,0
69e9fdea4d28cb7da6d876c4,e178b70a-be8b-4756-b466-a71fa40f63c1,2026-04-23 11:08:35.657,faros led para carro,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,72.96900000000001,91.02,"Automobiles, Parts & Accessories",31,24.90322580645161,100,0,37.19798815232681,2026-03-24,0,2026-04-23,0,2.2520161290322576,147370.0,13121.0,606.0,27.0,0.09314650200176426,0
69e9fe494d28cb7da6d8770d,b22cc8ff-449a-4908-b846-412b1b904a29,2026-04-23 11:10:47.822,lavadora,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,20.329,91.39,Home & Garden,31,88.48387096774194,100,69,7.219745922315809,2026-03-24,82,2026-04-23,69,-0.1181451612903225,330537.0,16035.0,139.0,29.0,0.0489324946980217,0
69e9fe994d28cb7da6d87758,afe59d7f-b3de-40c1-b667-48a5a70ad96c,2026-04-23 11:12:09.807,cortina plastica,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,27.535,93.02,Home & Garden,31,3.225806451612903,100,0,17.960530202677486,2026-03-24,0,2026-04-23,0,0.0806451612903225,,,,,0.0,3
69ea00674d28cb7da6d87786,3fc8135d-1189-428a-9a51-4edf35abc42d,2026-04-23 11:19:43.217,mouse inalambrico,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,36.523,93.17,Computer & Office,31,50.903225806451616,100,0,26.626246247777992,2026-03-24,89,2026-04-23,43,0.0645161290322581,8109.0,166.0,10.0,5.0,0.021704279195955113,3
69ea00da4d28cb7da6d877b9,57076120-9c0e-45e0-8090-9fcb102953ef,2026-04-23 11:21:38.742,teclado gamer,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,313.666,96.51,Computer & Office,31,29.580645161290324,100,0,30.789364173957203,2026-03-24,0,2026-04-23,54,1.258467741935484,1108.0,33.0,1.0,1.0,0.030685920577617327,3
69ea01a24d28cb7da6d877e8,2b802da8-bb03-4e5f-b370-4981f55a6e9c,2026-04-23 11:24:59.426,pecera de vidrio,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,26.472,91.73,Home & Garden,31,33.32258064516129,100,0,36.52705581417168,2026-03-24,0,2026-04-23,100,3.3491935483870967,28150.0,259.0,6.0,4.0,0.009413854351687389,1
69ea023d4d28cb7da6d8781a,d7240b29-04a8-4287-b906-7f969faf5d3a,2026-04-23 11:27:37.436,soporte para tv,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,166.341,93.98,Consumer Electronics,31,54.87096774193548,100,0,29.79232779926611,2026-03-24,86,2026-04-23,44,0.538306451612903,2149.0,11.0,62.0,40.0,0.03396928804094928,3
69ea02f84d28cb7da6d87870,0ff8990b-3d08-44ed-ab1a-15b365c51d87,2026-04-23 11:30:43.359,escritorio,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,17.913999999999998,92.79,Phones & Telecommunications Accessories,31,80.2258064516129,100,46,17.856296139680172,2026-03-24,95,2026-04-23,61,0.0754032258064515,22193.0,504.0,185.0,45.0,0.031045825260217187,0
69ea03464d28cb7da6d878cb,d504a7db-261a-4369-8a7a-038ebbebede6,2026-04-23 11:32:00.938,maquina de coser,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,38.95222222222222,72.76666666666667,Home & Garden,31,75.35483870967742,100,48,10.30387754552228,2026-03-24,86,2026-04-23,65,-0.2217741935483871,15782.0,322.0,17.0,15.0,0.02148016727917881,3
69ea03c34d28cb7da6d87907,04e550e0-2801-43f3-b13f-f0079f9f5516,2026-04-23 11:33:47.656,cama de niño,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,5681.28875,0.0,Toys & Hobbies,31,36.83870967741935,100,0,39.24801207211524,2026-03-24,0,2026-04-23,70,3.7983870967741935,15123358.0,143302.0,389.0,32.0,0.009501262880902509,2
69ea374e4d28cb7da6d87953,83da9c3b-4345-4219-b4c2-5e7d97160ce7,2026-04-23 15:13:33.776,marmol,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,20.201,92.21,Home & Garden,31,80.41935483870968,100,59,9.95916393260796,2026-03-24,100,2026-04-23,61,-0.4262096774193549,611376.0,18001.0,454.0,41.0,0.030186006647300517,0
69ea37fd4d28cb7da6d879aa,23c613da-614c-4d27-8e42-62b0350be99a,2026-04-23 15:16:33.215,marcador amarillo,MX,MX,es,"['google_trends', 'youtube', 'aliexpress']",MX,MXN,ES,12.855,94.18,Office & School Supplies,31,11.03225806451613,100,0,26.456862841195846,2026-03-24,0,2026-04-23,0,0.7266129032258066,1303.0,11.0,0.0,2.0,0.00844205679201842,3
