keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
blanqueador dental,Beauty & Health,MX,24.451613,2.153629,207628.0,0.014584,83.285,Viral/Premium,0.939434,0.195461,0.010198,100.0,1.296515,0.0,89.058824,0.58155,MEDIUM
traje de buzo,Men's Clothing,MX,28.129032,2.630645,75332.0,0.008921,43.775,Viral/Premium,0.996904,0.346529,0.012436,100.0,2.186572,0.0,56.0,0.628265,MEDIUM
carros hibridos,"Automobiles, Parts & Accessories",MX,39.741935,3.874194,4933.0,0.024731,20.765,Viral/Premium,0.999306,0.903963,0.945254,100.0,3.544532,0.0,24.4,0.66587,HIGH
ajedrez profesional,Sports & Entertainment,MX,16.645161,1.682661,2043813.0,0.04525,22.21,Estable,0.847462,0.124822,0.006524,100.0,0.851572,0.0,5780.125,0.669412,HIGH
monopoli,Electronic Components & Supplies,MX,16.612903,0.965323,2999.0,0.00967,81.855,Muerto,0.027165,0.052028,0.005302,100.0,0.732193,0.0,7.25,0.19903,LOW
iphone 13 pro max,Phones & Telecommunications Accessories,MX,69.322581,-0.906855,1318.0,0.008346,18.22,Muerto,0.001811,0.015,0.004423,0.0,-4.893276,7e-06,5.5,0.034754,LOW
cadena de oro,Jewelry & Accessories,MX,71.935484,-0.285887,1028094.0,0.022047,6.276,Estable,0.001566,0.005,0.004423,46.205645,-1.790184,2.8e-05,581.179487,0.136469,LOW
collar de perlas,Jewelry & Accessories,MX,32.967742,3.441532,572669.0,0.02371,6.025,Viral/Premium,0.98165,0.864884,0.934732,100.0,3.099664,0.0,502.888889,0.658064,HIGH
llavero de madera,Tools,MX,14.096774,0.881048,8266.0,0.018872,18.24,Muerto,0.051486,0.190655,0.004681,93.391129,0.367159,0.0,10.4,0.198782,LOW
protector solar,Home Improvement,MX,74.645161,-1.021774,31605.0,0.023319,30.168,Muerto,0.001071,0.0,0.004423,0.0,-6.094862,1e-05,28.346154,0.002251,LOW
cepillo de dientes,Home & Garden,MX,77.645161,0.257258,407194.0,0.084989,14.753,Estable,0.013764,0.045,0.022793,100.0,1.320689,1e-06,887.358974,0.23114,LOW
guantes de futbol,Apparel Accessories,MX,39.774194,3.838306,4358704.0,0.013322,20.563,Viral/Premium,0.999277,0.929186,0.945254,100.0,3.496217,0.0,1759.545455,0.706272,HIGH
rasuradora electrica,Home Appliances,MX,30.903226,3.005242,3094.0,0.007757,72.931,Viral/Premium,0.991852,0.973334,0.012357,100.0,2.632956,0.0,4.8,0.637307,MEDIUM
camisetas de futbol,"Sports Shoes,Clothing&Accessories",MX,37.903226,3.916129,347246.0,0.043859,36.737778,Viral/Premium,0.981809,0.789611,0.945254,100.0,3.557471,0.0,447.941176,0.669415,HIGH
peluches,Home & Garden,MX,86.548387,-0.003629,579887.0,0.028323,20.306,Estable,0.008413,0.01,0.004423,86.221774,-0.033898,0.000257,421.128205,0.211302,LOW
guantes de box,"Sports Shoes,Clothing&Accessories",MX,55.193548,0.110081,446061.0,0.016065,47.858889,Barato masivo,0.00092,0.025,0.004427,65.100806,0.431662,2e-06,170.619048,0.184434,LOW
guantes de boxeo,Sports & Entertainment,MX,23.129032,1.419758,527478.0,0.022399,23.052222,Estable,0.207512,0.711823,0.014552,100.0,1.378451,0.0,454.423077,0.299748,MEDIUM
medias de compresion,Underwear,MX,67.064516,0.300403,18099.0,0.005967,20.752,Muerto,0.017918,0.667874,0.005767,94.100806,1.136986,0.0,5.684211,0.206449,LOW
carrito de compras,Home & Garden,MX,23.129032,1.109677,3069969.0,0.052614,24.016,Estable,0.02183,0.059458,0.005561,100.0,0.928262,0.0,4750.647059,0.316414,MEDIUM
plancha de pelo,Beauty & Health,MX,24.516129,-0.363306,565942.0,0.04026,11.724,Estable,0.006848,0.044458,0.004395,0.0,-0.335825,0.0,584.230769,0.175365,LOW
sombrero vaquero,Apparel Accessories,MX,65.870968,1.172581,238456.0,0.02543,26.501,Estable,0.079984,0.673079,0.852207,100.0,4.417744,0.0,159.578947,0.325353,MEDIUM
